year,country_code,country,exports_usd,imports_usd,trade_balance_usd,export_yoy_pct,import_yoy_pct,risk_signal,source
2020,MEX,멕시코,439853932828,421735413259,18118519569,-12.46,-16.94,수출 5% 이상 감소,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2021,MEX,멕시코,534121610565,559543398298,-25421787732,21.43,32.68,수입 8% 이상 증가; 무역수지 악화,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2022,MEX,멕시코,629788673074,672827146644,-43038473570,17.91,20.25,수입 8% 이상 증가; 무역수지 악화,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2023,MEX,멕시코,648642274777,674539330291,-25897055514,2.99,0.25,특이 신호 없음,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2024,MEX,멕시코,681348718684,703294122577,-21945403892,5.04,4.26,특이 신호 없음,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2019,IND,인도,529245063167,602315056053,-73069992885,-1.74,-5.93,특이 신호 없음,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2020,IND,인도,499728529073,510244747372,-10516218300,-5.58,-15.29,수출 5% 이상 감소,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2021,IND,인도,677769255429,760902891806,-83133636377,35.63,49.13,수입 8% 이상 증가; 무역수지 악화,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2022,IND,인도,778021514755,897550749082,-119529234327,14.79,17.96,수입 8% 이상 증가; 무역수지 악화,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2023,IND,인도,780408530089,856651130547,-76242600459,0.31,-4.56,특이 신호 없음,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2024,IND,인도,827405227199,918333719558,-90928492359,6.02,7.20,무역수지 악화,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2019,IDN,인도네시아,208057763659,213034646335,-4976882676,-4.96,-7.39,특이 신호 없음,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2020,IDN,인도네시아,183546577017,165646843302,17899733715,-11.78,-22.24,수출 5% 이상 감소,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2021,IDN,인도네시아,254109508154,222923845056,31185663099,38.44,34.58,수입 8% 이상 증가,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2022,IDN,인도네시아,323218198016,276506804558,46711393458,27.20,24.04,수입 8% 이상 증가,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2023,IDN,인도네시아,298282074769,268508401209,29773673560,-7.71,-2.89,수출 5% 이상 감소; 무역수지 악화,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2024,IDN,인도네시아,309745619367,284696296711,25049322656,3.84,6.03,무역수지 악화,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
